year,codest,codmun,enrolled,daycare_pop,ratio
2000,13,130080,25,3691,0.00677323218639935
2004,13,130080,171,4287,0.03988803358992302
2008,13,130080,98,3660,0.026775956284153007
2012,13,130080,234,3787,0.06179033535780301
2000,13,130083,150,1128,0.13297872340425532
2004,13,130083,129,1230,0.1048780487804878
2008,13,130083,390,1106,0.352622061482821
2012,13,130083,203,1111,0.18271827182718273
2000,13,130090,0,1116,0.0
2004,13,130090,57,1057,0.05392620624408704
2008,13,130090,81,1024,0.0791015625
2012,13,130090,146,1113,0.13117699910152741
2000,13,130100,14,3204,0.004369538077403246
2004,13,130100,0,3433,0.0
2008,13,130100,0,2909,0.0
2012,13,130100,0,2650,0.0
2000,13,130110,147,2699,0.054464616524638756
2004,13,130110,138,2529,0.054567022538552785
2008,13,130110,132,2609,0.050594097355308544
2012,13,130110,58,2837,0.020444131124427212
2000,13,130115,0,1754,0.0
2004,13,130115,0,1717,0.0
2008,13,130115,51,2001,0.025487256371814093
2012,13,130115,67,1985,0.033753148614609575
2000,13,130120,0,8861,0.0
2004,13,130120,320,10382,0.030822577538046618
2008,13,130120,436,7370,0.05915875169606513
2012,13,130120,344,7381,0.04660615092805853
2000,13,130130,0,2233,0.0
2004,13,130130,0,2442,0.0
2008,13,130130,104,1718,0.06053550640279395
2012,13,130130,121,2032,0.05954724409448819
2000,13,130140,69,3228,0.02137546468401487
2004,13,130140,75,3515,0.021337126600284494
2008,13,130140,248,3207,0.07733083879014656
2012,13,130140,335,3432,0.09761072261072261
2000,13,130150,62,2660,0.02330827067669173
2004,13,130150,0,2815,0.0
2008,13,130150,0,1973,0.0
2012,13,130150,169,1831,0.0922992900054615
2000,13,130160,157,4146,0.03786782440906898
2004,13,130160,0,4950,0.0
2008,13,130160,251,2163,0.11604253351826167
2012,13,130160,298,2729,0.10919750824477831
2000,13,130165,0,2073,0.0
2004,13,130165,0,2183,0.0
2008,13,130165,0,1877,0.0
2012,13,130165,39,1467,0.026584867075664622
2000,13,130170,0,4123,0.0
2004,13,130170,0,3818,0.0
2008,13,130170,0,4000,0.0
2012,13,130170,0,3712,0.0
2000,13,130180,30,2342,0.012809564474807857
2004,13,130180,36,2670,0.01348314606741573
2008,13,130180,62,2312,0.026816608996539794
2012,13,130180,0,3039,0.0
2000,13,130185,0,3698,0.0
2004,13,130185,60,4321,0.01388567461235825
2008,13,130185,135,3148,0.042884371029224905
2012,13,130185,290,3827,0.07577737130911942
2000,13,130190,125,8218,0.015210513506935993
2004,13,130190,293,8835,0.033163554046406335
2008,13,130190,598,7923,0.07547646093651394
2012,13,130190,444,8000,0.0555
2000,13,130195,0,1310,0.0
2004,13,130195,63,1266,0.04976303317535545
2008,13,130195,105,1061,0.09896324222431668
2012,13,130195,246,894,0.2751677852348993
2000,13,130200,53,835,0.06347305389221557
2004,13,130200,42,935,0.044919786096256686
2008,13,130200,76,893,0.0851063829787234
2012,13,130200,101,729,0.13854595336076816
2000,13,130210,0,1120,0.0
2004,13,130210,70,1098,0.06375227686703097
2008,13,130210,87,520,0.1673076923076923
2012,13,130210,353,863,0.40903823870220163
2000,13,130220,0,999,0.0
2004,13,130220,150,1094,0.13711151736745886
2008,13,130220,0,1087,0.0
2012,13,130220,178,1233,0.14436334144363341
2000,13,130230,0,3425,0.0
2004,13,130230,0,3894,0.0
2008,13,130230,0,2308,0.0
2012,13,130230,0,2544,0.0
2000,13,130240,117,3612,0.03239202657807309
2004,13,130240,79,3405,0.023201174743024962
2008,13,130240,192,3881,0.0494717856222623
2012,13,130240,188,3777,0.04977495366693143
2000,13,130250,0,8540,0.0
2004,13,130250,54,9317,0.005795857035526457
2008,13,130250,75,8117,0.009239866945915979
2012,13,130250,128,7737,0.01654388005686959
2000,13,130255,50,1406,0.03556187766714083
